OTU	Tax Classification	Species	LogMaxMean	Class	new Class	colour	LDA	pValue
Otu000027	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	Streptococcus	3.849	biopsy	Biopsy	#377EB8	3.53517	3.10E-06
Otu000020	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	Staphylococcus	3.80773	biopsy	Biopsy	#377EB8	3.49687	1.43E-08
Otu000035	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Diaphorobacter	Diaphorobacter	3.4602	biopsy	Biopsy	#377EB8	3.18404	7.62E-08
Otu000046	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	Acinetobacter	3.41312	biopsy	Biopsy	#377EB8	3.12763	2.36E-08
Otu000130	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Incertae_Sedis	Peptostreptococcaceae I/C*	3.4608	biopsy	Biopsy	#377EB8	3.04013	0.0165814
Otu000058	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cloacibacterium	Cloacibacterium	3.18121	biopsy	Biopsy	#377EB8	2.91225	7.57E-08
Otu000117	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	Lachnospiraceae Blautia	3.39828	biopsy	Biopsy	#377EB8	2.89144	0.0359655
Otu000150	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Incertae_Sedis	Lachnospiraceae I/C*	3.47367	biopsy	Biopsy	#377EB8	2.85583	0.040143
Otu000066	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium	Propionibacterium	2.87563	biopsy	Biopsy	#377EB8	2.65819	5.35E-06
Otu000073	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|unclassified	Comamonadaceae u/c*	2.76123	biopsy	Biopsy	#377EB8	2.59513	1.40E-05
Otu000305	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	Blautia	2.83743	biopsy	Biopsy	#377EB8	2.54832	0.0262619
Otu000114	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|unclassified	Rhizobiacea u/c*	2.25009	biopsy	Biopsy	#377EB8	2.43498	8.38E-05
Otu000307	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified	Lachnospiraceae u/c*	2.39622	aspirate	Lavage	#E41A1C	-2.12832	0.0164062
Otu000022	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania	Holdemania	3.10876	aspirate	Lavage	#E41A1C	-2.67521	0.0208542
Otu000021	Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	Bifidobacterium	3.6461	aspirate	Lavage	#E41A1C	-3.29635	0.0207228
