Group	Sample_type	Otu000001	Otu000002	Otu000003	Otu000004	Otu000005	Otu000006	Otu000007	Otu000008	Otu000009	Otu000010	Otu000011	Otu000012	Otu000013	Otu000014	Otu000015	Otu000016	Otu000017	Otu000018	Otu000019	Otu000023	Otu000024	Otu000025	Otu000026	Otu000028	Otu000029	Otu000030	Otu000031	Otu000032	Otu000033	Otu000034	Otu000036	Otu000037	Otu000038	Otu000039	Otu000040	Otu000041	Otu000042	Otu000043	Otu000044	Otu000045	Otu000047	Otu000048	Otu000049	Otu000050	Otu000051	Otu000052	Otu000053	Otu000054	Otu000055	Otu000056
TestBx10_S39	Bx	2	0	9.095397023	4.95419631	0	0	5.129283017	0	5.906890596	0	0	6.392317423	4.754887502	5.554588852	0	0	5.247927513	0	6.977279923	6.14974712	0	3.459431619	1	0	0	0	1.584962501	0	0	0	0	0	0	3.700439718	0	0	4.247927513	0	1	0	0	4.392317423	2.807354922	0	0	0	0	0	0	4.392317423
TestBx11_S40	Bx	0	4.169925001	5.906890596	9.036173613	5.584962501	0	0	0	5.930737338	0	0	5.209453366	0	5.700439718	5.930737338	6.189824559	4.321928095	0	2.584962501	7.022367813	0	3.584962501	3	0	9.667111542	9.036173613	0	4.523561956	1	4.807354922	0	0	0	0	4	4.392317423	3.321928095	3.169925001	0	1.584962501	0	0	0	6.06608919	0	5.087462841	0	2.584962501	0	1
TestBx12_S41	Bx	9.864186145	4.584962501	5.285402219	4.321928095	2	0	1.584962501	0	5.614709844	0	0	6.845490051	7.977279923	2	5.459431619	3.906890596	1	0	2.321928095	4.754887502	0	4.087462841	1.584962501	0	4.754887502	4.247927513	7.6794801	3.584962501	3.169925001	0	9.294620749	0	0	0	1	4.087462841	1.584962501	3.584962501	0	0	0	0	0	0	8.839203788	0	1	0	0	8.290018847
TestBx13_S42	Bx	8.527477006	2.584962501	9.661778098	9.50779464	0	8.499845887	6.169925001	0	6.266786541	10.1711768	0	7.21916852	5.285402219	5.523561956	0	0	0	0	4.700439718	4.857980995	9.815383296	1.584962501	4.169925001	0	0	0	4.321928095	4.95419631	0	0	0	0	0	0	1.584962501	3.700439718	0	0	7.523561956	0	0	4.459431619	4.754887502	0	0	0	1	1.584962501	0	3.321928095
TestBx15_S43	Bx	8.076815597	2.584962501	7.721099189	1	0	0	4.459431619	0	2.321928095	0	0	1.584962501	0	0	2.807354922	5.906890596	2	0	0	3.169925001	0	0	0	0	0	0	2.584962501	0	7.257387843	0	0	0	0	0	0	0	0	0	0	0	6.977279923	1	0	0	0	1	0	0	0	2.584962501
TestBx16_S44	Bx	4.321928095	8.894817763	5.169925001	0	0	12.55985504	0	0	3	0	0	5.977279923	9.674192268	6.375039431	8.519636253	3.169925001	2	0	2.584962501	3.906890596	0	2.321928095	2.807354922	0	0	0	1	0	0	1.584962501	0	0	0	0	0	3.459431619	0	3.700439718	0	0	0	0	2	7.022367813	0	2.584962501	0	0	0	0
TestBx17_S45	Bx	7.266786541	4.169925001	7.515699838	0	11.50183718	7.554588852	0	11.01680829	7.614709844	0	0	9.407267764	4.321928095	7.044394119	0	7.584962501	7.118941073	0	3.906890596	3.906890596	0	1	3.700439718	0	0	8.330916878	0	7.247927513	0	6.554588852	0	0	4.906890596	9.152284842	5.285402219	4.807354922	1	3.321928095	0	6.523561956	0	0	0	0	0	1	0	0	0	0
TestBx18_S46	Bx	11.07146236	6.06608919	6.022367813	0	1	3.321928095	5.700439718	0	8.189824559	0	0	2.584962501	8.965784285	6.584962501	6.169925001	8.511752654	5.857980995	0	1	6.266786541	1	4.169925001	5.357552005	0	0	0	0	5.209453366	4.087462841	6.714245518	0	0	0	0	4	4.523561956	1	0	0	0	0	3.321928095	0	0	0	3.807354922	0	1	0	1.584962501
TestBx19_S47	Bx	7.011227255	6.965784285	1.584962501	0	3.807354922	0	0	0	2.321928095	6.584962501	0	4.247927513	0	0	0	0	0	0	0	3	6.209453366	2.321928095	1	4.523561956	0	0	8.933690655	0	0	0	0	0	0	0	0	0	2.321928095	0	0	0	1	0	1.584962501	0	0	0	0	0	0	0
TestBx20_S49	Bx	0	6	7.400879436	0	0	0	3.584962501	2	4.857980995	0	0	5.832890014	0	3.906890596	1.584962501	4.087462841	0	0	4.807354922	5	0	3.321928095	3.700439718	0	0	0	0	0	3.459431619	2.807354922	0	0	8.076815597	0	0	2.584962501	3.321928095	0	0	0	0	1.584962501	0	4.523561956	0	4.321928095	0	0	0	1
TestBx21_S50	Bx	2.321928095	0	8.535275377	0	6.714245518	0	3.700439718	7.14974712	4.321928095	0	1	6.169925001	3	0	0	4.584962501	4.247927513	0	7.434628228	5.584962501	0	4.584962501	2	0	0	0	0	0	5.754887502	0	0	0	0	0	3.906890596	4.247927513	0	0	9.25502857	3.169925001	0	2	0	0	8.103287808	0	0	0	0	2.807354922
TestBx22_S51	Bx	1	0	5.832890014	0	7.312882955	0	0	0	4.64385619	0	0	0	0	5.523561956	4.754887502	0	0	0	4	1.584962501	0	4	1.584962501	0	0	0	0	4.321928095	3.321928095	0	0	0	0	0	0	0	5.044394119	4.321928095	0	0	0	0	0	0	0	4.247927513	0	0	0	0
TestBx24_S52	Bx	1	2.584962501	10	10.81698362	0	0	7.17990909	0	5	0	0	5.906890596	0	8.169925001	0	3.459431619	3	0	1	0	0	0	0	0	0	0	0	2.584962501	2.321928095	0	0	0	0	0	0	1	6.247927513	0	0	0	0	0	3.700439718	0	0	1	0	0	0	0
TestBx25_S53	Bx	8.033423002	5.087462841	1.584962501	11.05460432	7.199672345	2	3.459431619	0	0	10.3140167	14.6588809	4	0	1	0	0	1	0	0	0	6	0	0	2.584962501	0	0	1	0	0	0	0	1	0	0	0	0	2.584962501	0	0	0	0	1	0	0	0	0	0	0	0	0
TestBx26_S54	Bx	0	13.01489224	1.584962501	1.584962501	0	1	11.00492268	0	5.357552005	1.584962501	0	1.584962501	0	8.693486957	6.169925001	3.169925001	0	0	5.169925001	3.321928095	0	0	0	0	0	0	5.209453366	0	0	0	0	2	0	0	3	0	5	5.169925001	0	0	0	0	0	0	0	4	1.584962501	0	0	1.584962501
TestBx27_S55	Bx	2	9.612868497	8.169925001	0	10.4655664	9.440869168	7.714245518	1	7.851749041	9.73978061	0	6.554588852	8.118941073	8.569855608	4.087462841	8.011227255	4.906890596	0	4.584962501	10.2467406	0	4.087462841	3.807354922	0	0	0	4.459431619	1.584962501	0	7.599912842	0	9.796039609	0	0	4.584962501	2.584962501	2.321928095	2.584962501	0	1.584962501	0	1	0	0	0	0	1.584962501	5.044394119	0	1
TestBx29_S56	Bx	7.727920455	4.169925001	2.321928095	8.098032083	0	1	2	7.599912842	3.584962501	9.038918989	0	2	0	3.906890596	0	1	3	0	3.459431619	1.584962501	0	2	0	0	0	0	0	1	0	0	1.584962501	1	0	6.794415866	0	0	0	0	4.95419631	0	0	0	0	0	0	0	0	0	0	0
TestBx2_S48	Bx	13.54653278	8.238404739	6.584962501	9.52160044	8.751544059	0	5.906890596	10.81057163	5.129283017	8.672425342	0	6.129283017	0	7.499845887	0	3.807354922	0	0	3.459431619	5.129283017	0	2.321928095	3.584962501	3.700439718	0	0	4.392317423	3.700439718	0	4.169925001	0	0	0	9.932214752	0	2	3.807354922	2	0	0	0	2	2.584962501	0	5.727920455	0	0	0	0	0
TestBx32_S58	Bx	3.906890596	5.781359714	3.906890596	0	1	5.169925001	1.584962501	6.321928095	2.807354922	2.321928095	1	2.807354922	8.027905997	6.741466986	3	0	1.584962501	0	2.807354922	0	0	0	0	0	0	0	0	2.807354922	0	0	6.768184325	0	0	0	0	0	3.169925001	2.321928095	0	0	0	0	0	3.321928095	0	2	0	0	0	0
TestBx33_S59	Bx	10.906139	10.44708323	4.247927513	0	10.63026713	6.95419631	5.754887502	10.39231742	6.169925001	1.584962501	0	4.392317423	0	5.357552005	2.584962501	3.321928095	4.584962501	0	3	2.321928095	0	1.584962501	2	0	0	0	7.129283017	3.906890596	6.303780748	2.584962501	0	0	0	0	2.584962501	3.807354922	0	5	0	2	0	0	4.807354922	0	0	0	1	0	0	0
TestBx3_S57	Bx	9.915879379	10.12153352	7.8008999	10.24555271	1.584962501	0	0	8.936637939	6.426264755	0	0	6.845490051	2	7.312882955	0	4.392317423	3.906890596	0	1.584962501	2.807354922	0	3.807354922	3.321928095	0	0	0	0	4.169925001	1.584962501	1.584962501	0	0	0	0	0	2.321928095	3.169925001	3.700439718	0	3	0	6.714245518	1.584962501	0	1	3	1	2	0	3.169925001
TestBx4_S60	Bx	3	6.714245518	0	1	0	0	4.906890596	0	4.64385619	0	2.584962501	0	0	0	2.321928095	6.321928095	6.209453366	0	1.584962501	1	0	3.321928095	1	0	0	0	0	1.584962501	4.754887502	2	0	0	0	0	0	3.700439718	4.523561956	4.247927513	0	1.584962501	0	0	2.321928095	0	0	2.807354922	0	0	0	0
TestBx9_S61	Bx	10.02236781	3.584962501	4.857980995	2	0	4	0	0	4.754887502	0	0	5.321928095	6.781359714	4.857980995	0	4.087462841	0	0	2.584962501	5.95419631	0	3	0	0	0	4.087462841	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.409390936	0	0	0	7.189824559	4.584962501
TestFA10_S62	FA	7.607330314	0	12.06541613	3.169925001	0	0	0	0	6.87036472	0	0	5.95419631	10.03066714	7.876516947	8.77478706	4.754887502	10.033423	2	12.57459353	2.321928095	0	0	2.807354922	0	3.584962501	2.321928095	6.189824559	4.754887502	0	2.807354922	0	0	0	3.169925001	0	0	5.209453366	0	2.321928095	0	0	1.584962501	5.491853096	0	0	3.584962501	0	0	0	0
TestFA11_S63	FA	0	2.807354922	8.584962501	11.03891899	7.357552005	0	0	0	9.86727874	0	0	7.17990909	0	8.28077077	9.807354922	5.832890014	9.108524457	0	3.584962501	5.977279923	0	1.584962501	4.95419631	0	12.57127862	11.07481046	0	6.022367813	0	3.700439718	0	0	0	0	5.357552005	6.906890596	2	4.95419631	0	4.807354922	0	0	2.584962501	8.189824559	0	5.392317423	4.392317423	2.807354922	0	0
TestFA12_S64	FA	0	0	8.434628228	0	0	2.807354922	0	0	7.584962501	0	0	12.25059451	3.459431619	0	11.44811631	2	0	0	6.672425342	3.700439718	0	11.38370429	3.584962501	0	0	0	1	2	0	2	0	0	0	0	0	1	3.700439718	0	0	0	0	0	0	0	0	3.321928095	2	0	0	0
TestFA13_S65	FA	11.18611424	1.584962501	11.19414124	10.54496443	0	10.24079133	7.636624621	0	7.076815597	9.368506462	0	7.794415866	6.06608919	6.14974712	0	1	0	0	4	1.584962501	10.97369737	1.584962501	3.169925001	0	0	0	2	2.807354922	0	0	0	0	0	2	0	1.584962501	0	0	5.044394119	0	0	0	3.807354922	0	0	0	2.321928095	1.584962501	0	0
TestFA15_S66	FA	12.75258972	7.77478706	8.731319031	0	0	0	6.523561956	0	4.523561956	0	0	1	0	0	7.417852515	8.353146825	5.169925001	0	4	2.807354922	0	0	1.584962501	0	0	0	2.807354922	0	10.42206477	2.807354922	0	0	0	0	0	1.584962501	5.700439718	3.700439718	0	0	10.39016896	1	0	0	0	1	0	0	0	0
TestFA16_S67	FA	5.857980995	9.379378367	7.894817763	0	0	11.76030413	0	0	3.321928095	0	0	8.129283017	11.22881869	7.087462841	11.47826403	1.584962501	2.584962501	0	4.459431619	2.321928095	0	2.807354922	2.321928095	0	0	0	0	0	0	2.321928095	0	0	0	0	0	0	2	5	0	0	0	0	4.247927513	7.87036472	0	1.584962501	0	0	0	0
TestFA17_S68	FA	8.77807713	0	9.539158811	0	11.52845411	9.172427509	2.321928095	11.17554955	8.027905997	0	0	6.754887502	6.569855608	7.383704292	1.584962501	8.721099189	8.299208018	0	3.584962501	3.459431619	0	1	3.584962501	0	0	10.01959073	0	6.266786541	1	7.918863237	0	0	6.686500527	9.079484784	5.459431619	3.906890596	2	3.807354922	0	7.614709844	0	0	1	0	0	0	2	1	0	0
TestFA18_S69	FA	12.65754176	8.491853096	7.562242424	0	0	1.584962501	6.339850003	0	10.11374217	0	0	4.247927513	11.12153352	8.826548487	7.781359714	10.16616308	7.960001932	0	1	7.894817763	0	5.087462841	4.64385619	0	0	0	0	5.614709844	4.459431619	8.005624549	0	0	0	0	7.076815597	5.807354922	3.906890596	0	0	3.807354922	0	3.807354922	0	0	0	3.906890596	3.906890596	4.523561956	0	0
TestFA19_S70	FA	10.74567432	9.779719355	3.906890596	0	3.700439718	2	0	0	5.614709844	9.707359132	0	8.459431619	2.584962501	2.807354922	1	1	0	0	5.247927513	2.807354922	7.686500527	4.754887502	4	9.451211112	0	0	7.971543554	3.459431619	0	1.584962501	0	0	0	0	2.321928095	2	3.584962501	2.807354922	0	0	0	0	4.247927513	0	0	0	1.584962501	0	0	0
TestFA20_S72	FA	0	8.294620749	9.202123824	0	0	0	7.451211112	0	7.686500527	0	0	7.276124405	0	8.312882955	6.087462841	5.977279923	4.523561956	0	3.169925001	3.584962501	0	4.321928095	5.247927513	0	0	0	0	4.584962501	3.906890596	5	0	0	11.28828934	0	4.523561956	5.321928095	3.807354922	0	0	1.584962501	0	0	4.321928095	4.95419631	0	2.584962501	3.321928095	3	0	0
TestFA21_S73	FA	3.700439718	0	9.283088353	0	9.398743692	0	7.499845887	9.581200582	5.930737338	0	0	8.614709844	6.930737338	5.285402219	0	5.169925001	3.321928095	0	8.049848549	6.741466986	0	7.491853096	0	0	0	0	0	0	8.422064766	3.321928095	0	0	0	0	3.700439718	2	0	0	10.12023788	0	0	0	0	0	9.074141463	1.584962501	0	0	0	0
TestFA22_S74	FA	0	1.584962501	7.607330314	0	8.523561956	0	0	0	5.129283017	0	0	0	1	9.64385619	8.022367813	2.584962501	0	0	5.95419631	1.584962501	0	6.741466986	2	0	0	0	0	2.321928095	3.459431619	0	0	0	0	0	1	1	7.781359714	8.022367813	0	0	0	0	1	0	0	1.584962501	0	0	0	0
TestFA24_S75	FA	1	0	13.74420315	3.700439718	0	0	10.58871464	0	6.087462841	0	0	9.93516505	0	4.321928095	0	3.459431619	0	0	2.807354922	0	0	0	2.321928095	0	0	0	0	3.321928095	0	3.169925001	0	0	0	0	0	2.584962501	6.285402219	0	0	0	0	0	3.459431619	0	0	2.321928095	2.807354922	0	0	0
TestFA25_S76	FA	12.13795173	6.781359714	5.491853096	12.12992693	8.038918989	0	6.794415866	0	9.152284842	10.53040634	10.65194861	7.569855608	0	3.169925001	0	2.321928095	0	0	4	7.159871337	9.873444113	2	7.266786541	8.764871591	0	0	9.936637939	7.857980995	0	1.584962501	0	0	0	0	8.503825738	6.426264755	1	0	0	4.754887502	0	0	0	0	0	2	3.584962501	3.807354922	0	0
TestFA26_S77	FA	2	13.682007	0	0	0	0	13.13298162	0	5.807354922	0	0	0	0	6.942514505	8.463524373	2	0	0	0	3.321928095	0	1	4.459431619	0	0	0	4.087462841	0	0	0	0	0	0	0	2.584962501	1	5.807354922	4.321928095	0	0	0	0	0	0	0	3.906890596	2.321928095	0	0	0
TestFA27_S78	FA	0	5.491853096	8.744833837	0	10.65194861	10.55170826	0	0	7.960001932	10.47269084	0	8.129283017	8.622051819	9	0	7.754887502	4.857980995	0	4.857980995	10.50779464	0	5.392317423	3	0	0	0	2.321928095	0	0	7.199672345	0	10.65284497	0	0	4.523561956	0	0	0	0	0	0	2	0	0	0	0	0	4.906890596	0	0
TestFA29_S79	FA	11.45686774	7.46760555	5.857980995	10.32305476	2	0	0	9.961449694	6.599912842	9.955649908	0	4.459431619	2	5.781359714	0	0	5.209453366	0	10.91513245	3.169925001	0	5.209453366	2.321928095	0	0	0	0	3	0	0	4	0	0	9.240791332	0	4.087462841	1	0	6.820178962	0	0	0	3.807354922	0	0	0	3.807354922	3	0	0
TestFA2_S71	FA	10.31061278	2	10.05934446	0	0	3	12.10689005	8.392317423	9.071462363	1	0	7.022367813	0	0	0	4.247927513	0	0	5.209453366	6.339850003	0	8.027905997	4.807354922	11.09803208	0	0	0	3.321928095	0	3.321928095	0	0	0	5.491853096	0	3.459431619	3.459431619	0	0	0	0	0	1	0	0	4.523561956	3	3	0	0
TestFA32_S81	FA	9.409390936	6.266786541	7.599912842	0	0	7.451211112	5.727920455	11.69130733	7.74819285	0	0	2.807354922	10.67507492	8.475733431	0	2	7.936637939	0	6.807354922	2.807354922	0	2	0	0	0	0	0	6.727920455	0	0	10.2632692	0	0	0	4.087462841	4.247927513	3.700439718	6.741466986	0	4.906890596	0	0	0	6.14974712	0	2.807354922	0	2.807354922	0	0
TestFA33_S82	FA	12.00807841	10.03617361	7.321928095	0	10.2911707	9.77478706	6.14974712	11.18549492	6.321928095	0	1	6.459431619	0	4	3.807354922	4	3.459431619	0	5.321928095	0	0	4.906890596	4.700439718	0	0	0	5.087462841	3.700439718	7.294620749	2	0	0	0	0	4.392317423	4.392317423	0	5.554588852	0	0	0	0	4.95419631	0	0	0	2.807354922	0	0	1
TestFA3_S80	FA	12.53527538	12.30748545	8.909893084	12	0	0	0	11.43567026	7.055282436	0	0	7.139551352	3.459431619	8.426264755	0	5.754887502	5.129283017	0	3.807354922	3.169925001	0	0	4.459431619	0	0	0	0	4.523561956	1	4	0	0	0	0	2.807354922	3.459431619	1.584962501	6.714245518	0	5.906890596	0	7.942514505	3.807354922	0	2.584962501	1.584962501	1	3.584962501	0	0
