Phylum	Lachnospiraceae	Ruminococcaceae	Erysipelotrichaceae	Bacteroidaceae	Alcaligenaceae	Verrucomicrobiaceae	Enterobacteriaceae	Porphyromonadaceae	Desulfovibrionaceae	Coriobacteriaceae	Streptococcaceae	unclassified	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Brachyspiraceae	Rikenellaceae	Pasteurellaceae	Christensenellaceae	Staphylococcaceae	Bacillaceae	Comamonadaceae	Prevotellaceae	Fusobacteriaceae	Peptostreptococcaceae	Defluviitaleaceae	Actinomycetaceae	Clostridiaceae_1	Clostridiales_unclassified	Firmicutes_unclassified	Family_XI	Micrococcaceae	Gastranaerophilales_unclassified	Moraxellaceae	Family_XIII	Carnobacteriaceae	Rhodospirillaceae	Candidate_division_TM7_unclassified	vadinBB60	Bacillales_unclassified	Bacteroidales_unclassified	Flavobacteriaceae	Bacteroidetes_unclassified	Campylobacteraceae	Sphingomonadaceae	Enterococcaceae	Family_XI	Propionibacteriaceae	Candidate_division_OD1_unclassified	Rhodocyclaceae	Alphaproteobacteria_unclassified	Pseudomonadaceae	Peptococcaceae	RF9_unclassified	Lactobacillaceae	S24-7	Rhodospirillales_unclassified	Rhizobiaceae	Betaproteobacteria_unclassified	Actinobacteria_unclassified	Corynebacteriaceae	Leptotrichiaceae	Sphingomonadales_unclassified	Mollicutes_unclassified	Clostridia_unclassified	Victivallaceae	Succinivibrionaceae	Neisseriaceae	Aerococcaceae	Bacilli_unclassified	Eubacteriaceae	Proteobacteria_unclassified	Unknown_Family	Methylobacteriaceae	Burkholderiaceae	Erythrobacteraceae	Xanthomonadaceae	Oxalobacteraceae	Legionellaceae	Rhodobacteraceae	Mollicutes_unclassified	Verrucomicrobiales_unclassified	Selenomonadales_unclassified	Anaeroplasmataceae	Actinobacteria_unclassified	Gammaproteobacteria_unclassified	BD1-5_unclassified	Bradyrhizobiaceae	Synergistaceae	Phyllobacteriaceae	Leuconostocaceae	Lactobacillales_unclassified	Burkholderiales_unclassified	Dermacoccaceae	Opitutae_unclassified	Rickettsiales_mitochondria	Helicobacteraceae	Fusobacteriales_unclassified	Mycoplasmataceae	Microbacteriaceae	Planococcaceae	Thermoanaerobacteraceae	Demequinaceae	Sphingobacteriaceae	Planctomycetaceae	34P16_unclassified	Chitinophagaceae	Beijerinckiaceae	Parachlamydiaceae	Caulobacteraceae	Candidate_division_OP3_unclassified	0319-6G20	Rhizobiales_unclassified	env.OPS_17	Deltaproteobacteria_unclassified	Cytophagaceae	Roseiflexaceae	Nocardioidaceae	Hyphomicrobiaceae	Trueperaceae	Cryomorphaceae	Deltaproteobacteria_unclassified	Acetobacteraceae	Unknown_Family	Bdellovibrionaceae	Nakamurellaceae	Opitutae_unclassified	Alteromonadaceae
TestBx10_S39	12.58707428	10.48280796	9.25502857	11.85447883	5.857980995	2	4.392317423	9.753216749	5.781359714	6.700439718	10.59339112	6.988684687	0	0	3.459431619	0	7.54689446	5.247927513	3.584962501	9.805743872	2.807354922	8.861086906	1.584962501	0	8.894817763	4.459431619	1	0	1.584962501	0	0	1	1	7.451211112	4.700439718	1	3.700439718	2.807354922	6.700439718	0	0	5.392317423	0	5.044394119	3.906890596	4.392317423	1	6.807354922	4.392317423	0	0	0	3.807354922	0	0	0	0	5.426264755	0	2.321928095	3.700439718	0	0	3.169925001	0	0	0	4.321928095	0	0	0	0	0	4.95419631	0	7.022367813	3.906890596	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3.321928095	0	1	0	0	0	3.169925001	3	0	0	0	1.584962501	0	0	0	0	1.584962501	2.807354922	0	0	0	0	0	0	0	0	0	0	0	0
TestBx11_S40	12.84293956	11.97692207	7.584962501	12.50804233	9.164906927	0	4.247927513	11.59245704	5.700439718	6.965784285	8.495855027	2.584962501	0	9.294620749	5.087462841	0	8.77148947	4.459431619	0	7.876516947	0	6.658211483	0	9.672425342	7.599912842	9.851749041	3	0	0	0	4.523561956	4.392317423	0	4.584962501	0	4.700439718	0	0	0	0	0	4.700439718	0	4.321928095	2	1	2.807354922	3.584962501	0	0	0	2.807354922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.584962501	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx12_S41	13.85943772	12.54399845	8.375039431	14.09077405	9.820178962	9.864186145	4.64385619	11.59479112	3.807354922	7.794415866	8.321928095	6.599912842	0	5.614709844	4.807354922	0	11.12282799	1.584962501	8.977279923	7.761551232	1	8.804131021	2.321928095	4.754887502	12.71059122	6.554588852	1.584962501	11.52894242	6.357552005	0	3.584962501	1	0	8.243173983	4.392317423	4.087462841	8.839203788	0	6.22881869	0	0	4.754887502	0	0	6.584962501	8.285402219	2.321928095	3.807354922	5.754887502	5.459431619	0	5.459431619	4.700439718	1	0	9.54689446	0	4.584962501	0	0	1.584962501	0	1.584962501	4	2.584962501	2	0	0	3	0	0	0	0	2	3.584962501	0	3.169925001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx13_S42	14.3420052	12.70217269	10.35424938	14.11276528	9.583082768	8.535275377	4.807354922	11.89973454	10.22881869	7.721099189	7.754887502	5.523561956	9.815383296	4	3.459431619	0	9.761551232	1.584962501	8.129283017	7.189824559	2.807354922	5.087462841	11.86727874	0	7.392317423	10.06204614	4.169925001	9.960001932	5.247927513	2	4.95419631	2.584962501	7.912889336	5.087462841	6.62935662	4.247927513	1	4.906890596	5.614709844	0	0	4.087462841	0	3.584962501	3.584962501	3.321928095	6.189824559	4.459431619	2	1	0	0	5.584962501	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2.321928095	0	1.584962501	0	0	0	0	0	0	0	0	0	1.584962501	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.584962501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx15_S43	13.48934624	12.48305998	8.640244936	10.48984796	1	8.076815597	3	9.116343961	0	2.321928095	6.741466986	0	0	7.74819285	0	0	7.022367813	2	4.95419631	7.189824559	3.169925001	4.807354922	2	0	8.918863237	6.539158811	0	1	2.807354922	4.906890596	0	0	0	4.64385619	2.807354922	0	0	0	3.807354922	0	0	4.95419631	1.584962501	4.321928095	1.584962501	2.584962501	2	4.247927513	2	1.584962501	0	2	1	0	0	0	0	2.807354922	0	0	1.584962501	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.700439718	0	0	2.807354922	1.584962501	0	0	2	0	0	0	0	0	0	2.807354922	0	0	0	0	0	0	0	0	0	0
TestBx16_S44	14.66838642	11.11894107	12.66954946	14.48167332	9.6794801	4.321928095	8.897845456	11.90651484	6.442943496	7.721099189	7.531381461	3.169925001	0	3.807354922	2.584962501	0	10.2467406	2	4.321928095	5.754887502	2.321928095	5.169925001	0	0	7.06608919	6.459431619	2.807354922	3.459431619	0	2.321928095	0	0	0	3.169925001	3.584962501	3.459431619	0	2.584962501	2	0	4.64385619	0	0	0	0	0	2	0	0	0	0	1.584962501	0	0	0	0	0	3.807354922	0	0	2	0	1	0	4.807354922	0	0	0	0	0	2.807354922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx17_S45	13.77961677	13.34734454	8.84862294	14.34117131	11.51619248	7.303780748	4.169925001	12.10983065	7.276124405	9.485829309	7.807354922	5	11.04165915	9.283088353	5.129283017	0	11.46964182	7.599912842	7.977279923	3.459431619	0	2.807354922	12.43801209	6.523561956	2	11.33483193	4	0	3.169925001	3.321928095	7.247927513	5.64385619	7.54689446	0	3.321928095	5.459431619	9.162391329	1.584962501	2.321928095	0	0	1	0	3.700439718	0	0	0	2.584962501	0	0	3.169925001	0	0	0	0	0	2.807354922	0	2.321928095	1	0	3.807354922	0	0	0	0	0	3.321928095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx18_S46	12.71660514	10.20457114	8.54303182	12.86050506	9.025139562	11.07146236	6.266786541	11.15355203	6.686500527	4	8.909893084	1	1	8.933690655	4.857980995	0	7.971543554	5.977279923	3	7.055282436	0	5.285402219	4.754887502	0	6.584962501	6.599912842	5.392317423	0	2.584962501	0	5.209453366	5.64385619	0	5.044394119	2.321928095	4.523561956	0	0	0	0	0	3.169925001	0	6	0	1.584962501	2	3	2	0	0	0	0	0	2	0	0	0	0	3.321928095	0	2.807354922	1	0	0	0	1	1	0	0	0	0	0	0	2.584962501	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx19_S47	12.00912879	10.57175264	9.036173613	12.0406322	6.539158811	7.011227255	6.965784285	9.54303182	6.599912842	5.392317423	6.392317423	4.64385619	6.209453366	0	3.906890596	0	7.209453366	0	7.285402219	6.129283017	0	4.087462841	6.357552005	0	9.845490051	1.584962501	1	10.70822173	4.700439718	0	0	0	0	4.321928095	2.584962501	0	0	2.807354922	4.087462841	0	0	2.321928095	0	0	0	0	2	2	0	0	0	1	2.584962501	0	0	3.584962501	0	0	0	0	1.584962501	0	1	0	0	0	0	0	0	0	3.169925001	0	0	1	1	0	0	0	0	0	0	0	0	3.321928095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx20_S49	13.01993816	10.62113611	7.87036472	12.74609438	4.754887502	0	6.06608919	10.14974712	3.906890596	6.569855608	7.539158811	4.807354922	8.098032083	5.523561956	4	0	6.442943496	0	2.321928095	8.124121312	2.584962501	5.930737338	0	0	2	8.45532722	3.906890596	1	3.700439718	0	0	3.459431619	0	4.906890596	1.584962501	2.584962501	0	0	0	0	0	2.807354922	0	0	5.169925001	1	2	5.357552005	2.584962501	2.321928095	0	3.169925001	0	0	0	0	0	0	0	1.584962501	1	0	1	0	0	0	0	3.169925001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1.584962501	0	0	0	0	2	0	0	0	2.807354922	0	0	0	0	0
