Group	Sample_type	Staphylococcus	Bifidobacterium	Holdemania	Streptococcus	Diaphorobacter	Acinetobacter	Cloacibacterium	Propionibacterium	Comamonadaceae u/c*	Rhizobiacea u/c*	Blautia	Peptostreptococcaceae I/S*	Lachnospiraceae I/S*	Blautia	Lachnospiraceae u/c*
TestBx10_S39	Bx	9.805743872	0	3	10.4655664	6.22881869	7.400879436	5.392317423	6.50779464	4.906890596	4.95419631	8.290018847	8.426264755	0	5.584962501	0
TestBx11_S40	Bx	7.876516947	4.087462841	3.700439718	7.357552005	6.285402219	4.523561956	4.700439718	3.584962501	1.584962501	0	0	0	0	3.321928095	0
TestBx12_S41	Bx	7.761551232	3.459431619	2	7.930737338	8.189824559	7.960001932	4.754887502	3.807354922	6.129283017	4.584962501	7.475733431	6.569855608	6.672425342	6.554588852	4.087462841
TestBx13_S42	Bx	7.189824559	2.807354922	3.321928095	6.741466986	4.321928095	4.754887502	4.087462841	3.700439718	3.584962501	0	6.339850003	5.977279923	0	7.011227255	0
TestBx15_S43	Bx	7.189824559	0	3	6.523561956	1	4.459431619	4.95419631	4.247927513	3.906890596	2.321928095	8.033423002	7.787902559	7.108524457	6.459431619	0
TestBx16_S44	Bx	5.754887502	0	5.129283017	7.339850003	0	2.321928095	0	0	4.64385619	2.807354922	2	6.554588852	5.832890014	0	0
TestBx17_S45	Bx	3.459431619	0	6.169925001	3.700439718	2	0	1	2.584962501	1	0	7.820178962	0	8.891783703	3.321928095	3.700439718
TestBx18_S46	Bx	7.055282436	3.459431619	3.169925001	6.781359714	4.169925001	4.321928095	3.169925001	2.807354922	3.906890596	0	4.584962501	6.539158811	8.658211483	0	0
TestBx19_S47	Bx	6.129283017	3.321928095	0	6.14974712	3	3.459431619	2	2	2.584962501	0	0	5.357552005	0	0	0
TestBx20_S49	Bx	8.124121312	2.584962501	2.807354922	6.965784285	4.700439718	4.523561956	2.807354922	5.357552005	4.087462841	0	0	1.584962501	3.169925001	0	0
TestBx21_S50	Bx	7.247927513	3.321928095	0	7.383704292	3.906890596	4.906890596	3.321928095	3.459431619	5.129283017	3.169925001	8.038918989	3.807354922	7.21916852	0	5.169925001
TestBx22_S51	Bx	5.807354922	2.584962501	4.700439718	7.108524457	3.700439718	0	3	2.321928095	4.700439718	1	5.285402219	5.754887502	4.247927513	3	0
