Phylum	Biopsy	Lavage
Firmicutes	0.465109699	0.50186319
Proteobacteria	0.05057678	0.038252506
Bacteroidetes	0.431794195	0.404256922
Actinobacteria	0.005228552	0.014334627
Verrucomicrobia	0.022590452	0.030226091
unclassified	0.001738242	0.00571631
Spirochaetae	0.01903641	0.000813935
Fusobacteria	0.001556102	0.003138864
Cyanobacteria	0.001483359	0.000986891
Candidate_division_TM7	0.000146304	0.000210503
Tenericutes	0.000221098	0.000181004
Candidate_division_OD1	0.000376585	0
Lentisphaerae	2.79926E-05	1.2823E-05
BD1-5	9.68587E-06	0
Synergistetes	0	6.33183E-06
Chlamydiae	8.73978E-06	0
Candidate_division_OP3	3.00847E-05	0
Planctomycetes	2.21038E-05	0
Acidobacteria	1.46404E-05	0
Deinococcus-Thermus	2.48423E-05	0
Chloroflexi	4.13913E-06	0
