Phylum	Sample_type	Firmicutes	Proteobacteria	Bacteroidetes	Actinobacteria	Verrucomicrobia	unclassified	Spirochaetae	Fusobacteria	Cyanobacteria	Candidate_division_TM7	Tenericutes	Candidate_division_OD1	Lentisphaerae	BD1-5	Synergistetes	Chlamydiae	Candidate_division_OP3	Planctomycetes	Acidobacteria	Deinococcus-Thermus	Chloroflexi
TestBx10_S39	Bx	13.4677329	10.14082977	12.23032072	7.960001932	2	6.988684687	0	0	1	2.807354922	4.247927513	4.392317423	0	1	0	0	0	3.169925001	0	0	0
TestBx11_S40	Bx	13.77025093	9.696967526	13.19475685	7.651051691	0	2.584962501	0	9.672425342	0	0	0	0	0	0	0	0	0	0	0	0	0
TestBx12_S41	Bx	14.99156613	11.23421868	14.5235007	8.087462841	9.864186145	6.599912842	0	4.754887502	0	0	4.169925001	5.754887502	2	0	0	0	0	0	0	0	0
TestBx13_S42	Bx	15.00628224	11.04165915	14.67518521	8.108524457	8.535275377	5.523561956	0	0	7.912889336	4.906890596	0	2	2	1.584962501	0	0	0	0	0	0	0
TestBx15_S43	Bx	14.19706308	7	11.09077405	5.169925001	8.076815597	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
TestBx16_S44	Bx	15.10991225	10.50581155	14.77092194	7.832890014	4.321928095	3.169925001	0	0	0	2.584962501	0	0	0	2	0	0	0	0	0	0	0
TestBx17_S45	Bx	14.91914266	11.93737382	15.03458406	9.689997971	7.303780748	5	0	6.727920455	7.54689446	2	0	0	0	0	0	0	0	0	0	0	0
TestBx18_S46	Bx	13.23974768	9.837627933	13.28800089	7.285402219	11.07146236	1	0	2.807354922	0	0	0	2	0	0	0	0	0	0	0	0	0
TestBx19_S47	Bx	13.17055104	8.495855027	12.3459596	6.087462841	7.011227255	4.64385619	0	0	0	2.807354922	3.459431619	0	0	0	0	0	0	0	0	0	0
TestBx20_S49	Bx	13.46365208	8.103287808	12.98424043	7.531381461	0	4.807354922	0	0	0	0	0	2.584962501	0	0	0	2	0	0	0	0	0
TestBx21_S50	Bx	14.58149484	9.174925683	11.73428623	7.475733431	2.321928095	8.73809226	1	3.169925001	9.25502857	0	6.129283017	2.807354922	0	0	0	0	0	0	0	0	0
TestBx22_S51	Bx	13.08015131	8.049848549	12.94617524	6.189824559	1	4.459431619	0	0	0	0	0	3.321928095	0	0	0	0	0	0	0	0	0
TestBx24_S52	Bx	13.92016674	11.08878824	14.88421823	7.22881869	1	4.523561956	0	0	0	3.700439718	0	0	0	0	0	0	0	0	0	0	0
TestBx25_S53	Bx	11.92629599	11.85369942	14.63310875	5.285402219	8.044394119	4.754887502	14.66183376	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TestBx26_S54	Bx	14.43012582	13.09770296	14.6417131	6.523561956	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
TestBx27_S55	Bx	14.56813426	11.98441846	14.65110776	8.326429487	2	5.129283017	0	2.321928095	0	0	0	0	0	0	0	0	0	0	0	0	0
