Phylum	Firmicutes	Proteobacteria	Bacteroidetes	Actinobacteria	Verrucomicrobia	unclassified	Spirochaetae	Fusobacteria	Cyanobacteria	Candidate_division_TM7	Tenericutes	Candidate_division_OD1	Lentisphaerae	BD1-5	Synergistetes	Chlamydiae	Candidate_division_OP3	Planctomycetes	Acidobacteria	Deinococcus-Thermus	Chloroflexi
TestBx10_S39	0.639948031	0.063774501	0.271422923	0.014065413	0.00022595	0.007173925	0	0	0.000112975	0.000395413	0.001073264	0.00118624	0	0.000112975	0	0	0	0.000508388	0	0	0
TestBx11_S40	0.554400444	0.032933894	0.372033966	0.007975557	0	0.000238076	0	0.032378383	0	3.97E-05	0	0	0	0	0	0	0	0	0	0	0
TestBx12_S41	0.54347536	0.040188849	0.392896467	0.00453772	0.015548363	0.001618231	1.67E-05	0.000450435	0	0	0.00030029	0.000900871	6.67E-05	0	0	0	0	0	0	0	0
TestBx13_S42	0.529481796	0.033914121	0.42090191	0.004440369	0.005968757	0.000740061	0	0	0.003877279	0.000482649	1.61E-05	6.44E-05	6.44E-05	4.83E-05	0	0	0	0	0	0	0
TestBx15_S43	0.877376559	0.005979353	0.101882562	0.001681693	0.012612697	4.67E-05	0	4.67E-05	0	0	0	0.000186855	0	0	0	0	0.000186855	0	0	0	0
TestBx16_S44	0.543696187	0.022355474	0.429843173	0.003505535	0.000307503	0.000138376	0	0	0	9.23E-05	0	0	0	6.15E-05	0	0	0	0	0	0	0
TestBx17_S45	0.443995414	0.056205216	0.48098309	0.011837203	0.002264259	0.000458584	0	0.00151906	0.002679851	5.73E-05	0	0	0	0	0	0	0	0	0	0	0
TestBx18_S46	0.422198944	0.039937148	0.436558858	0.006808956	0.093928681	8.73E-05	0	0.00030553	0	0	0	0.000174589	0	0	0	0	0	0	0	0	0
TestBx19_S47	0.613521427	0.024021826	0.346420016	0.004524887	0.008583977	0.001663561	0	6.65E-05	0	0.000465797	0.000731967	0	0	0	0	0	0	0	0	0	0
TestBx20_S49	0.567716971	0.01381979	0.407206392	0.00929695	0	0.001407106	0	5.03E-05	0	0	0	0.000301523	0	0	0	0.000201015	0	0	0	0	0
TestBx21_S50	0.822414545	0.019388816	0.114286673	0.00597095	0.000167723	0.014323572	6.71E-05	0.000301902	0.02049579	0	0.002348127	0.000234813	0	0	0	0	0	0	0	0	0
TestBx22_S51	0.511699362	0.015658237	0.466320019	0.004313401	0.000118175	0.001299929	0	0	0	0	0	0.000590877	0	0	0	0	0	0	0	0	0
TestBx24_S52	0.32222661	0.045272194	0.628593402	0.00311792	4.16E-05	0.000478081	0	0	0	0.00027022	0	0	0	0	0	0	0	0	0	0	0
TestBx25_S53	0.065676679	0.062453594	0.42878839	0.000658117	0.004454944	0.000455619	0.437411407	1.69E-05	0	0	1.69E-05	0	6.75E-05	0	0	0	0	0	0	0	0
TestBx26_S54	0.390265894	0.154974896	0.451912877	0.001626476	0	0.001131462	0	0	0	7.07E-05	0	1.77E-05	0	0	0	0	0	0	0	0	0
TestBx27_S55	0.446214042	0.0744333	0.472629413	0.005896616	7.35E-05	0.000642933	0	9.18E-05	0	1.84E-05	0	0	0	0	0	0	0	0	0	0	0
TestBx29_S56	0.344738038	0.067324547	0.56768162	0.000908914	0.013893397	0.002726742	0	0	0.002012595	6.49E-05	0.000324612	0	0.000324612	0	0	0	0	0	0	0	0
TestBx2_S48	0.343310072	0.059653657	0.386818299	0.003032653	0.20632377	0.000568622	0	0	0	0.00017231	0	0	0.000120617	0	0	0	0	0	0	0	0
TestBx32_S58	0.175733085	0.032017408	0.787690395	0.003056678	0.000777122	0.000518081	0.000103616	5.18E-05	0	0	5.18E-05	0	0	0	0	0	0	0	0	0	0
