#OTU ID	TestBx10_S39	TestBx11_S40	TestBx12_S41	TestBx13_S42	TestBx15_S43	TestBx16_S44	TestBx17_S45	TestBx18_S46	TestBx19_S47	TestBx20_S49	TestBx21_S50	TestBx22_S51	TestBx24_S52	TestBx25_S53	TestBx26_S54	TestBx27_S55	TestBx29_S56	TestBx2_S48	TestBx32_S58	TestBx33_S59	TestBx3_S57	TestBx4_S60	TestBx9_S61	TestFA10_S62	TestFA11_S63	TestFA12_S64	TestFA13_S65	TestFA15_S66	TestFA16_S67	TestFA17_S68	TestFA18_S69	TestFA19_S70	TestFA20_S72	TestFA21_S73	TestFA22_S74	TestFA24_S75	TestFA25_S76	TestFA26_S77	TestFA27_S78	TestFA29_S79	TestFA2_S71	TestFA32_S81	TestFA33_S82	TestFA3_S80	TestFA4_S83	TestFA9_S84
Cellular Processes;Cell Communication;Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Cell Communication;Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Cell Communication;Tight junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Cell Growth and Death;Apoptosis	3.7575E-05	1.18722E-05	2.94553E-05	3.71115E-06	2.9827E-06	7.41228E-06	2.93261E-05	1.03856E-05	5.39756E-06	7.46501E-06	1.64167E-05	1.05065E-05	3.61578E-07	8.2617E-07	7.43627E-07	3.42106E-05	4.40991E-05	3.49615E-05	2.33978E-05	2.82096E-05	3.27543E-05	1.8333E-05	7.73031E-05	1.13082E-05	9.59891E-06	6.34595E-07	4.60954E-06	7.08338E-07	1.34326E-05	2.60566E-05	1.00721E-05	1.97982E-06	2.23258E-06	1.54259E-05	9.13563E-06	2.04572E-07	7.95698E-06	3.26771E-07	2.09404E-05	3.59318E-05	1.98596E-06	2.88874E-05	2.37236E-05	2.5576E-05	1.77651E-05	9.70595E-06
Cellular Processes;Cell Growth and Death;Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Cell Growth and Death;Cell cycle - Caulobacter	0.004997523	0.005305902	0.005126364	0.005384327	0.004622367	0.005368666	0.005350585	0.005200269	0.004854809	0.005052912	0.005209703	0.005157558	0.005264096	0.00535584	0.004518976	0.00503685	0.005244615	0.004802452	0.005099287	0.005011022	0.005007968	0.005063692	0.004847815	0.005160659	0.005283748	0.005657184	0.005273453	0.004769434	0.004923495	0.005314771	0.004963891	0.004931421	0.005131695	0.005472826	0.005200806	0.005457551	0.005207703	0.004471516	0.005097524	0.005279334	0.006299525	0.00536663	0.005294901	0.004758744	0.005309017	0.005166564
Cellular Processes;Cell Growth and Death;Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Cell Growth and Death;Meiosis - yeast	5.47861E-05	6.83836E-05	7.30928E-05	7.86075E-05	2.44209E-05	4.86862E-05	6.71929E-05	0.000170221	7.72901E-05	8.03925E-06	2.8296E-05	3.93355E-05	0.000146995	4.87053E-05	5.93942E-05	5.70684E-05	0.000131868	0.000313101	0.000165727	0.000182174	0.000123887	2.89337E-05	0.000199061	2.78282E-05	8.73958E-05	6.58297E-06	0.000109722	0.000154521	9.90698E-05	7.66849E-05	0.000212278	0.000126082	1.38583E-05	3.63524E-05	5.40539E-05	3.07768E-05	0.000168022	2.8302E-05	4.78452E-05	0.000117641	2.30794E-05	0.000106304	0.000111957	0.000180458	5.18559E-05	0.000239301
Cellular Processes;Cell Growth and Death;Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Cell Growth and Death;p53 signaling pathway	1.74695E-05	1.59734E-06	1.34714E-05	6.56842E-07	1.45407E-06	5.13723E-07	1.08242E-05	1.12044E-06	8.24628E-07	4.18369E-06	1.06504E-05	1.85786E-06	5.56273E-08	3.09814E-07	3.35832E-07	1.21792E-06	1.32126E-05	2.12039E-05	1.94278E-06	3.72309E-07	4.4155E-06	1.03929E-06	4.404E-05	1.79305E-07	1.30597E-08	0	8.9217E-08	0	3.34978E-08	8.86415E-06	0	0	0	6.9755E-06	1.76705E-08	0	4.16353E-07	1.81539E-08	1.30796E-08	1.08384E-05	4.14094E-07	1.71541E-08	5.19399E-08	2.224E-06	1.75545E-08	8.08829E-07
Cellular Processes;Cell Motility;Bacterial chemotaxis	0.006788407	0.003801334	0.003703484	0.004218647	0.009595611	0.003078857	0.003269277	0.003461301	0.004810429	0.006887295	0.005356823	0.003841037	0.002596294	0.015153661	0.00360832	0.004120058	0.004673729	0.00353667	0.001929095	0.00226762	0.003168733	0.003634757	0.003069119	0.003768138	0.003329031	0.004022345	0.003221388	0.005296718	0.003241133	0.00328191	0.003060197	0.003705582	0.00346589	0.004374615	0.002585878	0.00418711	0.003732516	0.002932497	0.004021361	0.004061507	0.004140727	0.002443475	0.002178894	0.003324479	0.003062308	0.002468522
Cellular Processes;Cell Motility;Bacterial motility proteins	0.012484814	0.005949718	0.007526939	0.006882369	0.01808602	0.004016621	0.005068202	0.005457281	0.00865372	0.011802186	0.009499756	0.006594519	0.003909015	0.024526636	0.007400029	0.00750025	0.008384229	0.007359024	0.003174331	0.004541426	0.005837284	0.005431392	0.007173539	0.007001312	0.005165609	0.007029071	0.00521512	0.010554331	0.005299943	0.00550966	0.005364789	0.007165286	0.00514249	0.00795279	0.004438467	0.006217322	0.007141572	0.00656581	0.006860955	0.007327044	0.005248631	0.003614686	0.00375892	0.006680436	0.00447137	0.004784112
Cellular Processes;Cell Motility;Cytoskeleton proteins	0.00412477	0.004072235	0.003680542	0.004002628	0.004675198	0.003997863	0.003841019	0.003675909	0.003714499	0.004288855	0.004329314	0.003952381	0.003746082	0.002085524	0.003170852	0.003949788	0.003595276	0.003025825	0.003223239	0.003476422	0.003382667	0.003566248	0.003299785	0.003891727	0.003950244	0.004750998	0.003912269	0.00408456	0.003352899	0.003608674	0.003270563	0.003571894	0.003743397	0.004578839	0.003770435	0.004338323	0.003368315	0.003124766	0.004111859	0.003714794	0.004719951	0.00367301	0.00392553	0.00305308	0.003651576	0.003629515
Cellular Processes;Cell Motility;Flagellar assembly	0.005278431	0.002371581	0.003309375	0.002710555	0.007759609	0.001377789	0.001982218	0.001772193	0.003641482	0.005007424	0.003824839	0.002635476	0.001417134	0.011233316	0.003355703	0.00313117	0.003271739	0.002153041	0.001262215	0.001626074	0.002276188	0.002087926	0.002318471	0.002776137	0.002067578	0.002870556	0.001829558	0.003989067	0.002079512	0.002239844	0.001692581	0.003021537	0.002046895	0.00308416	0.001698997	0.002333865	0.002687654	0.002987958	0.002787641	0.002715267	0.001904992	0.001298168	0.001231016	0.002542772	0.001688951	0.001128279
Cellular Processes;Cell Motility;Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Transport and Catabolism;Endocytosis	2.58425E-07	0	2.31411E-07	0	3.72838E-08	2.93556E-08	0	0	0	8.20331E-08	0	6.40643E-08	0	1.29089E-08	0	2.17486E-08	8.57959E-08	0	8.44686E-08	2.86392E-08	0	0	1.03623E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Processes;Transport and Catabolism;Lysosome	0.001065641	0.001109032	0.001278198	0.001297295	0.00079832	0.001130498	0.001654938	0.001589906	0.001230645	0.001598579	0.000630578	0.001751261	0.002133669	0.001294957	0.002129893	0.001482582	0.002007452	0.00231863	0.003595661	0.002464085	0.001772423	0.001616589	0.001895169	0.001335335	0.001302709	0.00041111	0.001619006	0.001595754	0.001839316	0.001915652	0.001927681	0.001930771	0.002066389	0.000823278	0.002419687	0.000845237	0.002486447	0.002662639	0.001188347	0.001776731	0.00030381	0.002274216	0.001915247	0.001965117	0.001506244	0.001873497
Cellular Processes;Transport and Catabolism;Peroxisome	0.001526877	0.001597387	0.001598752	0.001646669	0.001123397	0.001624773	0.001874695	0.001588613	0.001553599	0.001434841	0.001438305	0.001732362	0.00192426	0.002310165	0.001718787	0.001777319	0.002082609	0.001709452	0.002411748	0.00213525	0.001827002	0.00168593	0.002254535	0.001647159	0.00172715	0.001225884	0.001776087	0.001445556	0.0019005	0.001967214	0.00169198	0.001777071	0.001792109	0.001583631	0.00195734	0.001215558	0.002020733	0.001634182	0.001623361	0.001922125	0.001045722	0.001987795	0.001879733	0.001794539	0.001790837	0.001566889
Cellular Processes;Transport and Catabolism;Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Membrane Transport;ABC transporters	0.035685575	0.035739021	0.033178216	0.033867816	0.040423806	0.036555635	0.033323035	0.035000813	0.039552302	0.035134291	0.03882739	0.033877055	0.029474882	0.03696008	0.035543283	0.033861578	0.030027093	0.032330478	0.023781299	0.028165955	0.03393203	0.038455204	0.030072763	0.035572055	0.035100865	0.034156536	0.032948358	0.033696086	0.036119641	0.031566286	0.034688353	0.0338492	0.033623707	0.033670609	0.029443039	0.03591919	0.028077427	0.031391911	0.035531053	0.031861943	0.03396455	0.02949009	0.029330099	0.034660193	0.034409049	0.030641321
Environmental Information Processing;Membrane Transport;Bacterial secretion system	0.005207777	0.005472199	0.005339461	0.005289808	0.004886522	0.005160006	0.00570471	0.006117393	0.005145153	0.004954677	0.005219156	0.005241482	0.005640748	0.005608816	0.005506442	0.005702314	0.005906444	0.007514977	0.005682712	0.006372385	0.005810647	0.004984249	0.007093542	0.005143398	0.005532431	0.00531068	0.005786332	0.006134122	0.005161396	0.005653522	0.006309997	0.005544836	0.005074519	0.005642136	0.005521437	0.005046985	0.006340631	0.005418009	0.00563282	0.006071467	0.005663916	0.0058061	0.006081311	0.006222477	0.005171846	0.006973015
Environmental Information Processing;Membrane Transport;Phosphotransferase system (PTS)	0.005224937	0.006528864	0.009605919	0.006608909	0.004085033	0.009787208	0.005267102	0.005841549	0.008792782	0.004078481	0.005954599	0.006567292	0.00495656	0.005772088	0.007194092	0.005412862	0.003294046	0.004131613	0.003041631	0.003747864	0.006287339	0.007566543	0.004032506	0.006692238	0.006086908	0.008688078	0.006123394	0.003549174	0.008588894	0.004682967	0.005489697	0.007862282	0.005343259	0.004656294	0.005190186	0.009100396	0.003940862	0.008418293	0.006002397	0.003924814	0.006016107	0.004595469	0.005374993	0.005806932	0.00664665	0.00528474
Environmental Information Processing;Membrane Transport;Secretion system	0.011675944	0.010074018	0.01087367	0.009938291	0.012553407	0.009377449	0.009682291	0.010739729	0.010888462	0.010655568	0.011390922	0.009935342	0.009268428	0.011190859	0.011423222	0.01060056	0.010623158	0.012794865	0.008856367	0.010417494	0.01076751	0.009600966	0.013468145	0.01041274	0.009710842	0.01063945	0.010048808	0.011965311	0.009634178	0.009681445	0.010994474	0.010604334	0.009051466	0.011306045	0.009368685	0.009812206	0.010850124	0.011257933	0.01021646	0.010927294	0.010474444	0.009525443	0.00990813	0.011626295	0.009287001	0.011644339
Environmental Information Processing;Membrane Transport;Transporters	0.070788505	0.071481928	0.068809206	0.070083627	0.079409242	0.075907243	0.067064512	0.068429258	0.077732273	0.070299098	0.078165368	0.069631065	0.059631227	0.059816446	0.070335454	0.068687967	0.060149762	0.061576078	0.050915834	0.056485816	0.067321279	0.075564075	0.058094612	0.074582612	0.069916792	0.073574406	0.067783788	0.067573137	0.074416238	0.064078357	0.067114006	0.068749371	0.068687891	0.069768473	0.061858656	0.074785655	0.05599778	0.06610661	0.072361786	0.063789809	0.071084969	0.061007104	0.061081561	0.0670833	0.068969452	0.061193135
Environmental Information Processing;Signal Transduction;Calcium signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signal Transduction;ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signal Transduction;Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signal Transduction;MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signal Transduction;MAPK signaling pathway - yeast	0.000392134	0.000619338	0.000500294	0.000491038	0.00021386	0.000566812	0.000549824	0.000605598	0.000475885	0.000467384	0.000444952	0.000526096	0.000645249	0.000506416	0.000481343	0.000520945	0.000647158	0.000523866	0.000755065	0.000617231	0.000595766	0.000619996	0.000542572	0.000530457	0.000666504	0.000406752	0.000585412	0.000398381	0.000698798	0.000600313	0.000632282	0.000548229	0.000705536	0.000468108	0.000613925	0.000562086	0.000542632	0.000474472	0.000514643	0.000641993	0.000804889	0.000718927	0.000572417	0.000606752	0.000706848	0.000511914
Environmental Information Processing;Signal Transduction;Notch signaling pathway	2.0674E-07	0	0	0	3.72838E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
