group	sobs	chao	chao_lci	chao_hci	shannon	shannon_lci	shannon_hci	invsimpson	invsimpson_lci	invsimpson_hci	coverage
TestBx10_S39	301.522	332.165856	316.7293	363.36014	4.074744	4.044761	4.104726	25.483843	24.545303	26.497014	0.995445
TestBx11_S40	255.705	305.323929	281.812539	350.084993	3.855684	3.826785	3.884582	20.172301	19.303842	21.122588	0.994513
TestBx12_S41	434.311	574.642946	525.38621	650.570604	4.028189	3.994546	4.061832	21.620455	20.838036	22.463928	0.987253
TestBx13_S42	406.344	598.129127	532.208192	698.608632	4.12207	4.090615	4.153524	23.702485	22.701446	24.795884	0.985991
TestBx15_S43	278.884	319.180445	300.593519	353.745564	3.525887	3.493468	3.558307	14.12062	13.629276	14.648718	0.994063
TestBx16_S44	318.723	483.216304	423.852216	576.137531	3.237712	3.205166	3.270258	12.44499	12.117984	12.790137	0.987702
TestBx17_S45	372.941	568.73671	500.655982	673.143132	4.071407	4.043281	4.099533	30.806709	29.890511	31.780857	0.986264
TestBx18_S46	300.527	346.51617	325.367029	385.740195	3.817803	3.786455	3.849151	19.728282	19.052238	20.454073	0.994038
TestBx19_S47	375.223	421.587253	401.195895	458.032645	3.91962	3.886232	3.953009	20.999234	20.35869	21.681396	0.99318
TestBx20_S49	277.231	313.672906	296.288013	346.993471	3.708389	3.67756	3.739219	17.980777	17.34978	18.659408	0.994629
TestBx21_S50	414.105	470.448264	446.891083	510.983878	4.533194	4.504898	4.561491	44.880559	43.368051	46.502391	0.992183
TestBx22_S51	281.078	311.196627	295.887776	342.413236	4.009956	3.981486	4.038425	27.112872	26.23907	28.046879	0.995565
TestBx24_S52	331.008	486.351413	431.571509	571.003666	3.203385	3.168339	3.238431	9.580891	9.259948	9.924882	0.987206
TestBx25_S53	273.451	439.21918	377.51196	537.558785	2.44243	2.404996	2.479863	4.431227	4.29661	4.574552	0.988462
TestBx26_S54	268.491	392.876815	343.834941	473.880662	3.101093	3.068776	3.13341	10.371333	10.078609	10.681571	0.990338
TestBx27_S55	415.145	584.28142	526.564623	671.923828	4.274915	4.24701	4.30282	38.160519	37.030144	39.362091	0.986076
TestBx29_S56	344.984	406.933135	380.519384	453.01834	3.972967	3.940956	4.004977	20.125786	19.253874	21.080416	0.992578
TestBx2_S48	379.696	548.553659	489.482711	639.442657	3.725351	3.690435	3.760268	14.450006	13.879021	15.069991	0.986812
TestBx32_S58	299.661	356.073439	331.739419	398.917261	3.324782	3.289459	3.360106	10.25271	9.895769	10.636366	0.992835
TestBx33_S59	409.557	578.430714	520.747497	666.065441	3.828801	3.794298	3.863304	15.787092	15.10071	16.538846	0.986105
TestBx3_S57	375.093	466.111355	431.320582	522.467528	3.838541	3.804785	3.872298	16.572822	15.863112	17.349015	0.989993
TestBx4_S60	254.746	294.538668	275.800758	330.03219	3.498796	3.4685	3.529092	15.489306	14.961869	16.055292	0.994436
TestBx9_S61	229.216	245.855312	235.332836	274.534182	3.77931	3.74921	3.809409	20.130526	19.472719	20.83433	0.997885
TestFA10_S62	478.266	784.906623	691.674189	918.897135	3.995345	3.963088	4.027602	23.770241	22.964341	24.634768	0.98032
TestFA11_S63	398.763	678.433841	587.98464	812.151434	3.673859	3.639475	3.708242	13.474188	12.895385	14.107394	0.982878
TestFA12_S64	420.551	694.118041	608.783958	818.166676	3.452264	3.417663	3.486866	12.498791	12.02424	13.012341	0.981729
TestFA13_S65	479.286	780.762638	689.007524	912.688882	4.220192	4.190556	4.249828	32.874044	31.733122	34.100082	0.980425
TestFA15_S66	414.108	640.307866	567.502054	747.695076	3.531357	3.496243	3.566471	13.261032	12.798954	13.757728	0.983469
TestFA16_S67	389.095	629.642483	551.611742	745.167614	3.446071	3.411816	3.480327	11.921354	11.443489	12.440869	0.983524
TestFA17_S68	415.603	677.93796	593.208553	803.11886	4.140495	4.112537	4.168453	33.844035	32.849273	34.900938	0.983074
TestFA18_S69	384.822	589.838379	520.326737	695.038232	3.82798	3.795775	3.860185	19.404678	18.734927	20.124095	0.985399
TestFA19_S70	561.582	894.666494	801.850588	1023.356708	3.840213	3.802929	3.877498	14.897012	14.270525	15.581035	0.976325
TestFA20_S72	411.805	672.296191	588.335007	796.22195	3.866661	3.836536	3.896786	24.706397	24.046024	25.404069	0.983038
TestFA21_S73	527.873	832.681048	741.535893	962.730287	4.343076	4.311878	4.374273	34.938303	33.830171	36.121496	0.979703
TestFA22_S74	466.47	751.586215	663.921614	878.197275	4.010466	3.978436	4.042496	24.677733	23.89359	25.515095	0.981045
TestFA24_S75	403.912	600.234547	536.400173	694.85075	3.38519	3.350558	3.419823	12.505235	12.096355	12.942727	0.984211
TestFA25_S76	601.696	990.764181	884.169876	1137.601344	4.098513	4.062566	4.134459	21.039866	20.184423	21.97104	0.974753
TestFA26_S77	283.593	442.581846	382.750471	538.560525	2.773044	2.738401	2.807688	7.212049	7.013125	7.422587	0.988821
TestFA27_S78	469.414	780.297297	685.08843	917.563953	4.222003	4.192987	4.251018	35.568717	34.551932	36.647169	0.980539
TestFA29_S79	512.608	822.477346	730.046861	954.224179	4.177167	4.145252	4.209082	29.233177	28.287027	30.244822	0.979538
TestFA2_S71	328.221	496.857515	436.433882	591.056631	2.430625	2.387391	2.47386	3.28443	3.184068	3.391325	0.987464
TestFA32_S81	496.392	798.799603	708.810462	926.935377	4.015434	3.982818	4.048051	23.757492	22.904251	24.676779	0.979544
TestFA33_S82	505.45	807.192101	717.286591	935.279685	3.917382	3.882747	3.952018	20.199869	19.552711	20.891336	0.979617
TestFA3_S80	433.282	702.150259	616.48255	827.908135	3.806011	3.772605	3.839418	17.956433	17.259389	18.712158	0.982539
TestFA4_S83	399.418	601.956073	535.579055	700.716373	3.695492	3.663575	3.727408	18.656142	18.072114	19.279184	0.984378
TestFA9_S84	372.832	577.371226	507.553123	683.404461	3.390641	3.355501	3.425782	11.956531	11.57015	12.369613	0.985613
